year,state,candidate,party,candidatevotes
2000,New Hampshire,,,1276
2000,New Hampshire,,constitution party,328
2000,New Jersey,"Gore, Al",democrat,1788850
2000,New Jersey,"Bush, George W.",republican,1284173
2000,New Jersey,,independent,114203
2000,New Mexico,"Gore, Al",democrat,286783
2000,New Mexico,"Bush, George W.",republican,286417
2000,New Mexico,"Nader, Ralph",green,21251
2000,New Mexico,"Browne, Harry",libertarian,2058
2000,New Mexico,"Buchanan, Patrick """"Pat""""",reform party,1392
2000,New Mexico,"Hagelin, John",natural law,361
2000,New Mexico,"Phillips, Howard",constitution party,343
2000,New York,"Gore, Al",democrat,3942215
2000,New York,"Bush, George W.",republican,2258577
2000,New York,"Nader, Ralph",green,244030
2000,New York,"Bush, George W.",conservative,144797
2000,New York,Blank Vote/Scattering,,138216
2000,New York,"Gore, Al",working families,88395
2000,New York,"Gore, Al",liberal party,77087
2000,New York,"Buchanan, Patrick """"Pat""""",right-to-life,25175
2000,New York,"Hagelin, John",independence,24361
2000,New York,"Browne, Harry",libertarian,7649
2000,New York,"Buchanan, Patrick """"Pat""""",reform party,6424
2000,New York,"Harris, James",socialist workers,1789
2000,New York,"Phillips, Howard",constitution party,1498
2000,New York,,socialist,2
2000,North Carolina,"Bush, George W.",republican,1631163
2000,North Carolina,"Gore, Al",democrat,1257692
2000,North Carolina,"Browne, Harry",libertarian,13891
2000,North Carolina,"Buchanan, Patrick """"Pat""""",reform party,8874
2000,North Carolina,Not Designated,socialist,3370
2000,North Dakota,"Bush, George W.",republican,174852
2000,North Dakota,"Gore, Al",democrat,95284
2000,North Dakota,,independent,10459
2000,North Dakota,"Buchanan, Patrick """"Pat""""",reform party,7288
2000,North Dakota,"Phillips, Howard",constitution party,373
2000,Ohio,"Bush, George W.",republican,2350363
2000,Ohio,"Gore, Al",democrat,2183628
2000,Ohio,Not Designated,,148353
2000,Ohio,"Browne, Harry",libertarian,13473
2000,Ohio,"Hagelin, John",natural law,6181
2000,Oklahoma,"Bush, George W.",republican,744337
2000,Oklahoma,"Gore, Al",democrat,474276
2000,Oklahoma,"Buchanan, Patrick """"Pat""""",reform party,9014
2000,Oklahoma,"Browne, Harry",libertarian,6602
2000,Oregon,"Gore, Al",democrat,720342
2000,Oregon,"Bush, George W.",republican,713577
2000,Oregon,"Nader, Ralph",green,77357
2000,Oregon,"Browne, Harry",libertarian,7447
2000,Oregon,"Buchanan, Patrick """"Pat""""",independent,7063
2000,Oregon,Other,,3401
2000,Oregon,"Buchanan, Patrick """"Pat""""",reform party,2574
2000,Oregon,"Phillips, Howard",constitution party,2189
2000,Pennsylvania,"Gore, Al",democrat,2485967
2000,Pennsylvania,"Bush, George W.",republican,2281127
2000,Pennsylvania,"Nader, Ralph",green,103392
2000,Pennsylvania,"Buchanan, Patrick """"Pat""""",reform party,16023
2000,Pennsylvania,"Phillips, Howard",constitution party,14428
2000,Pennsylvania,"Browne, Harry",libertarian,11248
2000,Rhode Island,"Gore, Al",democrat,249508
2000,Rhode Island,"Bush, George W.",republican,130555
2000,Rhode Island,"Nader, Ralph",green,25052
2000,Rhode Island,"Buchanan, Patrick """"Pat""""",reform party,2273
2000,Rhode Island,"Browne, Harry",libertarian,742
2000,Rhode Island,,,329
2000,Rhode Island,"Hagelin, John",natural law,271
2000,Rhode Island,"Moorehead, Monica",workers world,199
2000,Rhode Island,"Phillips, Howard",constitution party,97
2000,Rhode Island,,socialist,52
2000,Rhode Island,,socialist workers,34
2000,South Carolina,"Bush, George W.",republican,786892
2000,South Carolina,"Gore, Al",democrat,566037
2000,South Carolina,"Nader, Ralph",united citizens,20279
2000,South Carolina,"Browne, Harry",libertarian,4760
2000,South Carolina,"Buchanan, Patrick """"Pat""""",reform party,3309
2000,South Carolina,,constitution party,1682
2000,South Carolina,"Hagelin, John",natural law,943
2000,South Dakota,"Bush, George W.",republican,190700
2000,South Dakota,"Gore, Al",democrat,118804
2000,South Dakota,"Buchanan, Patrick """"Pat""""",reform party,3322
2000,South Dakota,"Phillips, Howard",independent,1781
2000,South Dakota,"Browne, Harry",libertarian,1662
2000,Tennessee,"Bush, George W.",republican,1061949
2000,Tennessee,"Gore, Al",democrat,981720
2000,Tennessee,,independent,32084
2000,Tennessee,,,428
2000,Texas,"Bush, George W.",republican,3799639
2000,Texas,"Gore, Al",democrat,2433746
2000,Texas,"Nader, Ralph",green,137994
2000,Texas,"Browne, Harry",libertarian,23160
2000,Texas,,independent,12394
2000,Texas,,,704
2000,Utah,"Bush, George W.",republican,515096
2000,Utah,"Gore, Al",democrat,203053
2000,Utah,"Nader, Ralph",green,35850
2000,Utah,"Buchanan, Patrick """"Pat""""",reform party,9319
2000,Utah,"Browne, Harry",libertarian,3616
2000,Utah,"Phillips, Howard",independent american,2709
2000,Utah,"Hagelin, John",natural law,763
2000,Utah,"Harris, James",socialist workers,186
2000,Utah,,no party affiliation,161
2000,Utah,,,1
2000,Vermont,"Gore, Al",democrat,149022
2000,Vermont,"Bush, George W.",republican,119775
2000,Vermont,"Nader, Ralph",progressive/green,20374
2000,Vermont,"Buchanan, Patrick """"Pat""""",reform party,2192
2000,Vermont,"Dennis """"Denny"""", Lane",vermont grassroots,1044
2000,Vermont,"Browne, Harry",libertarian,784
2000,Vermont,,,514
2000,Vermont,"Hagelin, John",natural law,219
2000,Vermont,"McReynolds, David",liberty union party,161
2000,Vermont,"Phillips, Howard",constitution party,153
2000,Vermont,"Harris, James",socialist workers,70
2000,Virginia,"Bush, George W.",republican,1437490
2000,Virginia,"Gore, Al",democrat,1217290
2000,Virginia,"Nader, Ralph",green,59398
2000,Virginia,"Browne, Harry",libertarian,15198
2000,Virginia,"Buchanan, Patrick """"Pat""""",reform party,5455
2000,Virginia,,,2807
2000,Virginia,"Phillips, Howard",conservative,1809
2000,Washington,"Gore, Al",democrat,1247652
2000,Washington,"Bush, George W.",republican,1108864
2000,Washington,"Nader, Ralph",green,103002
2000,Washington,"Browne, Harry",libertarian,13135
2000,Washington,"Buchanan, Patrick """"Pat""""",freedom,7171
2000,Washington,"Hagelin, John",natural law,2927
2000,Washington,"Phillips, Howard",constitution party,1989
2000,Washington,"Moorehead, Monica",workers world,1729
2000,Washington,"McReynolds, David",socialist,660
2000,Washington,"Harris, James",socialist workers,304
2000,West Virginia,"Bush, George W.",republican,336475
2000,West Virginia,"Gore, Al",democrat,295497
2000,West Virginia,"Nader, Ralph",green,10680
2000,West Virginia,"Buchanan, Patrick """"Pat""""",reform party,3169
2000,West Virginia,"Browne, Harry",libertarian,1912
2000,West Virginia,"Hagelin, John",natural law,367
2000,West Virginia,,,24
2000,Wisconsin,"Gore, Al",democrat,1242987
2000,Wisconsin,"Bush, George W.",republican,1237279
2000,Wisconsin,"Nader, Ralph",green,94070
2000,Wisconsin,,independent,13693
2000,Wisconsin,"Browne, Harry",libertarian,6640
2000,Wisconsin,,constitution party,2042
2000,Wisconsin,Scattering,,1896
2000,Wyoming,"Bush, George W.",republican,147947
2000,Wyoming,"Gore, Al",democrat,60481
2000,Wyoming,"Buchanan, Patrick """"Pat""""",reform party,2724
2000,Wyoming,"Browne, Harry",libertarian,1443
2000,Wyoming,"Phillips, Howard",independent,720
2000,Wyoming,"Hagelin, John",natural law,411
2004,Alabama,"Bush, George W.",republican,1176394
2004,Alabama,"Kerry, John",democrat,693933
2004,Alabama,Other,independent,12190
2004,Alabama,Other,,898
2004,Alaska,"Bush, George W.",republican,190889
2004,Alaska,"Kerry, John",democrat,111025
2004,Alaska,"Nader, Ralph",populist,5069
2004,Alaska,"Peroutka, Michael",alaskan independence party,2092
2004,Alaska,"Badnarik, Michael",libertarian,1675
2004,Alaska,"Cobb, David",green,1058
2004,Alaska,Other,,790
2004,Arizona,"Bush, George W.",republican,1104294
2004,Arizona,"Kerry, John",democrat,893524
2004,Arizona,"Badnarik, Michael",libertarian,11856
2004,Arizona,Other,,2911
2004,Arkansas,"Bush, George W.",republican,572898
2004,Arkansas,"Kerry, John",democrat,469953
2004,Arkansas,"Nader, Ralph",populist,6171
2004,Arkansas,"Badnarik, Michael",libertarian,2352
2004,Arkansas,"Peroutka, Michael",constitution party,2083
2004,Arkansas,"Cobb, David",green,1488
2004,California,"Kerry, John",democrat,6745485
2004,California,"Bush, George W.",republican,5509826
2004,California,"Badnarik, Michael",libertarian,50165
2004,California,"Cobb, David",green,40771
2004,California,"Peltier, Leonard",peace & freedom,27607
2004,California,"Peroutka, Michael",american independent party,26645
2004,California,Other,,20854
2004,Colorado,"Bush, George W.",republican,1101255
2004,Colorado,"Kerry, John",democrat,1001732
2004,Colorado,"Nader, Ralph",reform party,12718
2004,Colorado,"Badnarik, Michael",libertarian,7664
2004,Colorado,"Peroutka, Michael",american constitution party,2562
2004,Colorado,"Cobb, David",green,1591
2004,Colorado,"Andress, Stanford",unaffiliated,804
2004,Colorado,"Amondson, Gene",concerns of people,378
2004,Colorado,"Van Auken, Bill",socialist equality party,329
2004,Colorado,"Calero, Roger",socialist workers,241
2004,Colorado,"Brown, Walt",socialist,216
2004,Colorado,"Dodge, Earl",prohibition,140
2004,Connecticut,"Kerry, John",democrat,857488
2004,Connecticut,"Bush, George W.",republican,693826
2004,Connecticut,"Nader, Ralph",petitioning candidate,12969
2004,Connecticut,"Cobb, David",green,9564
2004,Connecticut,"Badnarik, Michael",libertarian,3367
2004,Connecticut,"Peroutka, Michael",concerned citizens,1543
2004,Connecticut,"Calero, Roger",socialist workers,12
2004,Delaware,"Kerry, John",democrat,200152
2004,Delaware,"Bush, George W.",republican,171660
2004,Delaware,"Nader, Ralph",independent,2153
2004,Delaware,"Badnarik, Michael",libertarian,586
2004,Delaware,"Peroutka, Michael",constitution party,289
2004,Delaware,"Cobb, David",green,250
2004,Delaware,"Brown, Walt",natural law,100
2004,District of Columbia,"Kerry, John",democrat,202970
2004,District of Columbia,"Bush, George W.",republican,21256
2004,District of Columbia,"Nader, Ralph",independent,1485
2004,District of Columbia,"Cobb, David",d.c. statehood green,737
2004,District of Columbia,Others,,506
2004,District of Columbia,"Badnarik, Michael",libertarian,502
2004,District of Columbia,"Calero, Roger",socialist workers,130
2004,Florida,"Bush, George W.",republican,3964522
2004,Florida,"Kerry, John",democrat,3583544
2004,Florida,"Nader, Ralph",reform party,32971
2004,Florida,"Badnarik, Michael",libertarian,11996
2004,Florida,"Peroutka, Michael",constitution party of florida,6626
2004,Florida,"Cobb, David",green,3917
2004,Florida,"Brown, Walt",socialist party of florida,3502
2004,Florida,"Calero, Roger",socialist workers,2732
2004,Georgia,"Bush, George W.",republican,1914254
2004,Georgia,"Kerry, John",democrat,1366149
2004,Georgia,"Badnarik, Michael",libertarian,18387
2004,Georgia,Other,,3085
2004,Hawaii,"Kerry, John",democrat,231708
2004,Hawaii,"Bush, George W.",republican,194191
2004,Hawaii,"Cobb, David",green,1737
2004,Hawaii,"Badnarik, Michael",libertarian,1377
2004,Idaho,"Bush, George W.",republican,409235
2004,Idaho,"Kerry, John",democrat,181098
2004,Idaho,"Badnarik, Michael",libertarian,3844
2004,Idaho,"Peroutka, Michael",constitution party,3084
2004,Idaho,"Nader, Ralph",independent,1115
2004,Illinois,"Kerry, John",democrat,2891550
2004,Illinois,"Bush, George W.",republican,2345946
2004,Illinois,"Badnarik, Michael",libertarian,32442
2004,Illinois,Other,,4384
2004,Indiana,"Bush, George W.",republican,1479438
2004,Indiana,"Kerry, John",democrat,969011
2004,Indiana,"Badnarik, Michael",libertarian,18058
2004,Indiana,Other,,1495
2004,Iowa,"Bush, George W.",republican,751957
2004,Iowa,"Kerry, John",democrat,741898
2004,Iowa,Other,,6149
2004,Iowa,"Badnarik, Michael",libertarian,2992
2004,Iowa,"Peroutka, Michael",constitution party,1304
2004,Iowa,"Cobb, David",green,1141
2004,Iowa,Other,,1094
2004,Iowa,"Calero, Roger",socialist workers,373
2004,Kansas,"Bush, George W.",republican,736456
2004,Kansas,"Kerry, John",democrat,434993
2004,Kansas,"Nader, Ralph",reform party,9348
2004,Kansas,"Badnarik, Michael",libertarian,4013
2004,Kansas,"Peroutka, Michael",independent,2899
2004,Kansas,Other,,47
2004,Kentucky,"Bush, George W.",republican,1069439
2004,Kentucky,"Kerry, John",democrat,712733
2004,Kentucky,"Nader, Ralph",independent,8856
2004,Kentucky,"Badnarik, Michael",libertarian,2619
2004,Kentucky,"Peroutka, Michael",constitution party,2213
2004,Kentucky,Other,,22
2004,Louisiana,"Bush, George W.",republican,1102169
2004,Louisiana,"Kerry, John",democrat,820299
2004,Louisiana,"Nader, Ralph",independent,7032
2004,Louisiana,"Peroutka, Michael",constitution party,5203
2004,Louisiana,"Badnarik, Michael",libertarian,2781
2004,Louisiana,"Brown, Walt",protecting working families,1795
2004,Louisiana,"Amondson, Gene",prohibition,1566
2004,Louisiana,"Cobb, David",green,1276
2004,Louisiana,"Calero, Roger",socialist,985
2004,Maine,"Kerry, John",democrat,396842
2004,Maine,"Bush, George W.",republican,330201
2004,Maine,"The Better Life,",independent,8069
2004,Maine,"Cobb, David",green,2936
2004,Maine,"Badnarik, Michael",libertarian,1965
2004,Maine,"Peroutka, Michael",constitution party,735
2004,Maine,Blank Vote/Scattering,,4
2004,Maryland,"Kerry, John",democrat,1334493
2004,Maryland,"Bush, George W.",republican,1024703
2004,Maryland,"Nader, Ralph",populist,11854
2004,Maryland,"Badnarik, Michael",libertarian,6094
2004,Maryland,"Cobb, David",green,3632
2004,Maryland,"Peroutka, Michael",constitution party,3421
2004,Maryland,Other,unaffiliated,34
2004,Maryland,Other,democrat,7
2004,Massachusetts,"Kerry, John",democrat,1803800
2004,Massachusetts,"Bush, George W.",republican,1071109
2004,Massachusetts,Blank Vote/Scattering,,15067
2004,Massachusetts,"Badnarik, Michael",libertarian,15022
2004,Massachusetts,"Cobb, David",green-rainbow,10623
2004,Massachusetts,Other,,7028
2004,Massachusetts,"Nader, Ralph",independent,4806
2004,Michigan,"Kerry, John",democrat,2479183
2004,Michigan,"Bush, George W.",republican,2313746
2004,Michigan,"Nader, Ralph",no party affiliation,24035
2004,Michigan,"Badnarik, Michael",libertarian,10552
2004,Michigan,"Cobb, David",green,5325
2004,Michigan,"Peroutka, Michael",u.s. taxpayers party,4980
2004,Michigan,"Brown, Walt",natural law,1431
2004,Minnesota,"Kerry, John",democratic-farmer-labor,1445014
2004,Minnesota,"Bush, George W.",republican,1346695
2004,Minnesota,"Nader, Ralph",better life,18683
2004,Minnesota,"Badnarik, Michael",libertarian,4639
2004,Minnesota,"Cobb, David",green,4408
2004,Minnesota,"Peroutka, Michael",constitution party,3074
2004,Minnesota,Other,,2532
2004,Minnesota,"Harens, Thomas",christian freedom party,2387
2004,Minnesota,"Van Auken, Bill",socialist equality party,539
2004,Minnesota,"Calero, Roger",socialist workers,416
2004,Mississippi,"Bush, George W.",republican,672660
2004,Mississippi,"Kerry, John",democrat,457766
2004,Mississippi,"Nader, Ralph",reform party,3175
2004,Mississippi,"Badnarik, Michael",libertarian,1793
2004,Mississippi,"Peroutka, Michael",constitution party,1758
2004,Mississippi,"Calero, Roger",independent,1599
2004,Mississippi,"Cobb, David",green,1073
2004,Missouri,"Bush, George W.",republican,1455713
2004,Missouri,"Kerry, John",democrat,1259171
2004,Missouri,"Badnarik, Michael",libertarian,9831
2004,Missouri,"Peroutka, Michael",constitution party,5355
2004,Missouri,"Nader, Ralph",independent,1294
2004,Montana,"Bush, George W.",republican,266063
2004,Montana,"Kerry, John",democrat,173710
2004,Montana,"Nader, Ralph",independent,6168
2004,Montana,"Peroutka, Michael",constitution party,1764
2004,Montana,"Badnarik, Michael",libertarian,1733
2004,Montana,"Cobb, David",green,996
2004,Nebraska,"Bush, George W.",republican,512814
2004,Nebraska,"Kerry, John",democrat,254328
2004,Nebraska,"Nader, Ralph",reform party,5780
2004,Nebraska,"Badnarik, Michael",libertarian,2041
2004,Nebraska,Other,nebraska party,1314
2004,Nebraska,"Cobb, David",green,978
2004,Nebraska,Other,,931
2004,Nevada,"Bush, George W.",republican,418690
2004,Nevada,"Kerry, John",democrat,397190
2004,Nevada,"Nader, Ralph",independent,4838
2004,Nevada,Other,,3688
2004,Nevada,"Badnarik, Michael",libertarian,3176
2004,Nevada,"Peroutka, Michael",independent american,1152
2004,Nevada,"Cobb, David",green,853
2004,New Hampshire,"Kerry, John",democrat,340511
2004,New Hampshire,"Bush, George W.",republican,331237
2004,New Hampshire,"Nader, Ralph",independent,4479
2004,New Hampshire,Other,,1095
2004,New Hampshire,Other,,965
2004,New Jersey,"Kerry, John",democrat,1911430
2004,New Jersey,"Bush, George W.",republican,1670003
2004,New Jersey,Other,independent,30258
2004,New Mexico,"Bush, George W.",republican,376930
2004,New Mexico,"Kerry, John",democrat,370942
2004,New Mexico,"Nader, Ralph",independent,4053
2004,New Mexico,"Badnarik, Michael",libertarian,2382
2004,New Mexico,"Cobb, David",green,1226
2004,New Mexico,"Peroutka, Michael",constitution party,771
2004,New York,"Kerry, John",democrat,4180755
2004,New York,"Bush, George W.",republican,2806993
2004,New York,"Bush, George W.",conservative,155574
2004,New York,"Kerry, John",working families,133525
2004,New York,"Nader, Ralph",independence,84247
2004,New York,Blank Vote/Scattering,,57230
2004,New York,"Nader, Ralph",peace and justice,15626
2004,New York,"Badnarik, Michael",libertarian,11607
2004,New York,"Calero, Roger",socialist workers,2405
2004,New York,Other,,304
2004,North Carolina,"Bush, George W.",republican,1961166
2004,North Carolina,"Kerry, John",democrat,1525849
2004,North Carolina,"Badnarik, Michael",libertarian,11731
2004,North Carolina,Other,unaffiliated,2261
2004,North Dakota,"Bush, George W.",republican,196651
2004,North Dakota,"Kerry, John",democrat,111052
2004,North Dakota,"Nader, Ralph",independent,3756
2004,North Dakota,"Badnarik, Michael",libertarian,851
2004,North Dakota,"Peroutka, Michael",constitution party,514
2004,North Dakota,Other,,9
2004,Ohio,"Bush, George W.",republican,2859764
2004,Ohio,"Kerry, John",democrat,2741165
2004,Ohio,Other,,26616
2004,Ohio,Other,,358
2004,Oklahoma,"Bush, George W.",republican,959792
2004,Oklahoma,"Kerry, John",democrat,503966
2004,Oregon,"Kerry, John",democrat,943163
2004,Oregon,"Bush, George W.",republican,866831
2004,Oregon,Other,,8956
2004,Oregon,"Badnarik, Michael",libertarian,7260
2004,Oregon,"Cobb, David",pacific green,5315
2004,Oregon,"Peroutka, Michael",constitution party,5257
2004,Pennsylvania,"Kerry, John",democrat,2938095
2004,Pennsylvania,"Bush, George W.",republican,2793847
2004,Pennsylvania,"Badnarik, Michael",libertarian,21185
2004,Pennsylvania,"Cobb, David",green,6319
2004,Pennsylvania,"Peroutka, Michael",constitution party,6318
2004,Pennsylvania,"Independent Party Candidate,",independent,2656
2004,Pennsylvania,Blank Vote/Scattering,,1170
2004,Rhode Island,"Kerry, John",democrat,259760
2004,Rhode Island,"Bush, George W.",republican,169046
2004,Rhode Island,"Nader, Ralph",reform party,4651
2004,Rhode Island,"Cobb, David",green,1333
2004,Rhode Island,"Badnarik, Michael",libertarian,907
2004,Rhode Island,Nonpartisan,nonpartisan,845
2004,Rhode Island,"Peroutka, Michael",constitution party,339
2004,Rhode Island,Workers World,workers world,253
2004,South Carolina,"Bush, George W.",republican,937974
2004,South Carolina,"Kerry, John",democrat,661669
2004,South Carolina,"Nader, Ralph",independence,5520
2004,South Carolina,"Peroutka, Michael",constitution party,5317
2004,South Carolina,"Badnarik, Michael",libertarian,3608
2004,South Carolina,"Brown, Walt",united citizens,2124
2004,South Carolina,"Cobb, David",green,1488
2004,South Dakota,"Bush, George W.",republican,232584
2004,South Dakota,"Kerry, John",democrat,149244
2004,South Dakota,"Nader, Ralph",independent,4320
2004,South Dakota,"Peroutka, Michael",constitution party,1103
2004,South Dakota,"Badnarik, Michael",libertarian,964
2004,Tennessee,"Bush, George W.",republican,1384375
2004,Tennessee,"Kerry, John",democrat,1036477
2004,Tennessee,Other,independent,16428
2004,Tennessee,Other,,39
2004,Texas,"Bush, George W.",republican,4526917
2004,Texas,"Kerry, John",democrat,2832704
2004,Texas,"Badnarik, Michael",libertarian,38787
2004,Texas,Other,,12341
2004,Utah,"Bush, George W.",republican,663742
2004,Utah,"Kerry, John",democrat,241199
2004,Utah,"Nader, Ralph",unaffiliated,11305
2004,Utah,"Peroutka, Michael",constitution party,6841
2004,Utah,"Badnarik, Michael",libertarian,3375
2004,Utah,"Jay, Charles",personal choice,946
2004,Utah,"Calero, Roger",socialist workers,393
2004,Utah,Other,,43
2004,Vermont,"Kerry, John",democrat,184067
2004,Vermont,"Bush, George W.",republican,121180
2004,Vermont,"Nader, Ralph",independent,4494
2004,Vermont,"Badnarik, Michael",libertarian,1102
2004,Vermont,Other,,957
2004,Vermont,"Parker, John",liberty union party,265
2004,Vermont,"Calero, Roger",socialist workers,244
2004,Virginia,"Bush, George W.",republican,1716959
2004,Virginia,"Kerry, John",democrat,1454742
2004,Virginia,"Badnarik, Michael",libertarian,11032
2004,Virginia,"Peroutka, Michael",constitution party,10161
2004,Virginia,Other,,2521
2004,Washington,"Kerry, John",democrat,1510201
2004,Washington,"Bush, George W.",republican,1304894
2004,Washington,"Nader, Ralph",independent,23283
2004,Washington,"Badnarik, Michael",libertarian,11955
2004,Washington,"Peroutka, Michael",constitution party,3922
2004,Washington,"Cobb, David",green,2974
2004,Washington,"Parker, John",workers world,1077
2004,Washington,"Calero, Roger",socialist workers,547
2004,Washington,"Van Auken, Bill",socialist equality party,231
2004,West Virginia,"Bush, George W.",republican,423778
2004,West Virginia,"Kerry, John",democrat,326541
2004,West Virginia,"Nader, Ralph",independent,4063
2004,West Virginia,"Badnarik, Michael",libertarian,1405
2004,West Virginia,"Cobb, David",,5
2004,Wisconsin,"Kerry, John",democrat,1489504
2004,Wisconsin,"Bush, George W.",republican,1478120
2004,Wisconsin,"Nader, Ralph",independent,17272
2004,Wisconsin,"Badnarik, Michael",libertarian,6464
2004,Wisconsin,Blank Vote/Scattering,,2986
2004,Wisconsin,"Cobb, David",wisconsin green,2661
2004,Wyoming,"Bush, George W.",republican,167629
2004,Wyoming,"Kerry, John",democrat,70776
2004,Wyoming,"Nader, Ralph",independent,3372
2004,Wyoming,"Badnarik, Michael",libertarian,1171
2004,Wyoming,Other,,480
2004,Wyoming,Other,,433
2008,Alabama,"McCain, John",republican,1266546
2008,Alabama,"Obama, Barack H.",democrat,813479
2008,Alabama,,independent,16089
2008,Alabama,,,3705
2008,Alaska,"McCain, John",republican,193841
2008,Alaska,"Obama, Barack H.",democrat,123594
2008,Alaska,"Nader, Ralph",independent,3783
2008,Alaska,,,1730
2008,Alaska,"Baldwin, Charles """"Chuck""""",alaskan independence party,1660
2008,Alaska,"Barr, Bob",libertarian,1589
2008,Arizona,"McCain, John",republican,1230111
2008,Arizona,"Obama, Barack H.",democrat,1034707
2008,Arizona,"Barr, Bob",libertarian,12555
2008,Arizona,"Nader, Ralph",independent,11301
2008,Arizona,"McKinney, Cynthia",green,3406
2008,Arizona,,,1395
2008,Arkansas,"McCain, John",republican,638017
2008,Arkansas,"Obama, Barack H.",democrat,422310
2008,Arkansas,"Nader, Ralph",independent,12882
2008,Arkansas,"Barr, Bob",libertarian,4776
2008,Arkansas,"Baldwin, Charles """"Chuck""""",constitution party,4023
2008,Arkansas,"McKinney, Cynthia",green,3470
2008,Arkansas,"La Riva, Gloria Estella",socialism and liberation party,1139
2008,California,"Obama, Barack H.",democrat,8274473
2008,California,"McCain, John",republican,5011781
2008,California,"Nader, Ralph",peace & freedom,108381
2008,California,"Barr, Bob",libertarian,67582
2008,California,"Keyes, Alan",american independent party,40673
2008,California,"McKinney, Cynthia",green,38774
2008,California,,independent,20236
2008,Colorado,"Obama, Barack H.",democrat,1288576
2008,Colorado,"McCain, John",republican,1073589
2008,Colorado,"Nader, Ralph",independent,13350
2008,Colorado,"Barr, Bob",libertarian,10897
2008,Colorado,"Baldwin, Charles """"Chuck""""",constitution party,6233
2008,Colorado,"Keyes, Alan",america's independent party,3051
2008,Colorado,"McKinney, Cynthia",green,2822
2008,Colorado,"McEnulty, Frank",unaffiliated,828
2008,Colorado,"Jay, Charles",boston tea party,598
2008,Colorado,"Allen, Jonathan",heartquake '08,348
2008,Colorado,"Stevens, Thomas R.",objectivist party,336
2008,Colorado,"Moore, Brian",socialist,226
2008,Colorado,"La Riva, Gloria Estella",socialism and liberation party,158
2008,Colorado,"Harris, James",socialist workers,154
2008,Colorado,"Lyttle, Bradford",u.s. pacifist party,110
2008,Colorado,"Amondson, Gene",prohibition,85
2008,Connecticut,"Obama, Barack H.",democrat,997772
2008,Connecticut,"McCain, John",republican,629428
2008,Connecticut,"Nader, Ralph",independent,19162
2008,Connecticut,,,430
2008,Delaware,"Obama, Barack H.",democrat,255459
2008,Delaware,"McCain, John",republican,152374
2008,Delaware,"Nader, Ralph",independent,2401
2008,Delaware,"Barr, Bob",libertarian,1109
2008,Delaware,"Baldwin, Charles """"Chuck""""",constitution party,626
2008,Delaware,"McKinney, Cynthia",green,385
2008,Delaware,"Calero, Roger",socialist workers,58
2008,District of Columbia,"Obama, Barack H.",democrat,245800
2008,District of Columbia,"McCain, John",republican,17367
2008,District of Columbia,,,1138
2008,District of Columbia,"Nader, Ralph",independent,958
2008,District of Columbia,"McKinney, Cynthia",green,590
2008,Florida,"Obama, Barack H.",democrat,4282074
2008,Florida,"McCain, John",republican,4045624
2008,Florida,"Nader, Ralph",ecology party of florida,28124
2008,Florida,"Barr, Bob",libertarian,17218
2008,Florida,"Baldwin, Charles """"Chuck""""",constitution party,7915
2008,Florida,"McKinney, Cynthia",green,2887
2008,Florida,"Keyes, Alan",america's independent party,2550
2008,Florida,"La Riva, Gloria Estella",socialism and liberation party,1516
2008,Florida,"Jay, Charles",boston tea party,795
2008,Florida,"Calero, Roger",socialist workers,533
2008,Florida,"Stevens, Thomas R.",objectivist party,419
2008,Florida,"Moore, Brian",socialist,405
2008,Florida,,,391
2008,Florida,"Amondson, Gene",prohibition,293
2008,Georgia,"McCain, John",republican,2048759
2008,Georgia,"Obama, Barack H.",democrat,1844123
2008,Georgia,"Barr, Bob",libertarian,28731
2008,Georgia,,,1715
2008,Georgia,,independent,1158
2008,Hawaii,"Obama, Barack H.",democrat,325871
2008,Hawaii,"McCain, John",republican,120566
2008,Hawaii,"Nader, Ralph",independent,3825
2008,Hawaii,Blank Vote,,2193
2008,Hawaii,"Barr, Bob",libertarian,1314
2008,Hawaii,"Baldwin, Charles """"Chuck""""",constitution party,1013
2008,Hawaii,"McKinney, Cynthia",green,979
2008,Hawaii,Over Vote,,303
2008,Idaho,"McCain, John",republican,403012
2008,Idaho,"Obama, Barack H.",democrat,236440
2008,Idaho,"Nader, Ralph",independent,7175
2008,Idaho,"Baldwin, Charles """"Chuck""""",constitution party,4747
2008,Idaho,"Barr, Bob",libertarian,3658
2008,Idaho,,,90
2008,Illinois,"Obama, Barack H.",democrat,3419348
2008,Illinois,"McCain, John",republican,2031179
2008,Illinois,"Nader, Ralph",independent,30948
2008,Illinois,"Barr, Bob",libertarian,19642
2008,Illinois,"McKinney, Cynthia",green,11838
2008,Illinois,"Baldwin, Charles """"Chuck""""",constitution party,8256
2008,Illinois,,new,1149
2008,Illinois,,,11
2008,Indiana,"Obama, Barack H.",democrat,1374039
2008,Indiana,"McCain, John",republican,1345648
2008,Indiana,"Barr, Bob",libertarian,29257
2008,Indiana,,,1201
2008,Indiana,"Nader, Ralph",independent,909
2008,Iowa,"Obama, Barack H.",democrat,828940
2008,Iowa,"McCain, John",republican,682379
2008,Iowa,"Nader, Ralph",peace & freedom,8014
2008,Iowa,,,6737
2008,Iowa,"Barr, Bob",libertarian,4590
2008,Iowa,"Baldwin, Charles """"Chuck""""",constitution party,4445
2008,Iowa,"McKinney, Cynthia",green,1423
2008,Iowa,"Harris, James",socialist workers,292
